Arquivo de 4529290 bytes (4.5 mb):
	Buffer Cliente	|  Buffer Servidor |  Valor
	100		| 100 		   | 103016.10 kbps
	100		| 500		   | 121583.89 kbps
	100             | 1000             | 113911.32 kbps
	500		| 100		   | 66248.32 kbps
	1000            | 100              | 65726.27 kbps
	500		| 500 		   | 318047.75 kbps
	1000		| 1000		   | 355885.59 kbps
	5000            | 5000             | 438134.86 kbps


Arquivo de 9058583 bytes (9 mb):
	Buffer Cliente	|  Buffer Servidor |  Valor
	100		| 100 		   | 117432.00 kbps
	100		| 500		   | 123095.74 kbps
	100             | 1000             | 120348.10 kbps
	500		| 100		   | 62372.61 kbps 
	1000            | 100              | 61342.78 kbps 
	500		| 500 		   | 335084.34 kbps 
	1000		| 1000		   | 443997.84 kbps
	5000            | 5000             | 551140.86 kbps

Arquivo de 18117167 bytes (18 mb):
	Buffer Cliente	|  Buffer Servidor |  Valor
	100		| 100 		   | 123334.67 kbps
	100		| 500		   | 114946.06 kbps
	100             | 1000             | 131267.39 kbps
	500		| 100		   | 76547.36 kbps 
	1000            | 100              | 71868.33 kbps 
	500		| 500 		   | 388268.58 kbps
	1000		| 1000		   | 376598.00 kbps
	5000            | 5000             | 606041.35 kbps 
